timestamp (unix)	asset_composition (text)	asset_amounts (amounts)	btc_price ($)	total_portfolio_value ($)	pnl ($)	return (%)	apr (%)	net_gain_vs_hold ($)	capital_used_in_trading ($)	total_capital_locked ($)	lp_fees_earned ($)	trading_fees_paid ($)	gas_fees_paid ($)	max_drawdown (%)	max_gain (%)	impermanent_loss (%)	asset_exposure (%)	rebalancing_actions (#)	notes (text)
1747872000	cbBTC,USDC	0.04622396,5186.99	111700.09783574537	10505.74	505.74	5.057391	24.93	276.566504	10350.21	10350.21	155.529393	0.000000	5.000000	7.033089	6.457067	-0.025100	0.00	1	
1747958400	cbBTC,USDC	0.04622396,5186.99	107275.7784257996	10311.50	311.50	3.115011	25.46	289.450362	10145.70	10145.70	165.800954	0.000000	5.000000	7.033089	6.457067	-0.000242	0.00	1	
1748044800	cbBTC,USDC	0.04622396,5186.99	107829.00017821527	10342.46	342.46	3.424604	25.22	294.510890	10171.27	10171.27	171.188127	0.000000	5.000000	7.033089	6.457067	-0.001139	0.00	1	
1748131200	cbBTC,USDC	0.04622396,5186.99	109033.68303494049	10406.50	406.50	4.065007	25.43	302.154687	10226.96	10226.96	179.543217	0.000000	5.000000	7.033089	6.457067	-0.005332	0.00	1	
1748217600	cbBTC,USDC	0.04622396,5186.99	109450.09961163833	10431.87	431.87	4.318722	25.31	308.031881	10246.21	10246.21	185.666280	0.000000	5.000000	7.033089	6.457067	-0.007482	0.00	1	
1748304000	cbBTC,USDC	0.04622396,5186.99	109038.17559108853	10420.19	420.19	4.201885	25.37	315.632137	10227.17	10227.17	193.023320	0.000000	5.000000	7.033089	6.457067	-0.005354	0.00	1	
1748390400	cbBTC,USDC	0.04622396,5186.99	107808.83415858046	10369.46	369.46	3.694621	25.26	322.456622	10170.34	10170.34	199.121951	0.000000	5.000000	7.033089	6.457067	-0.001094	0.00	1	
1748476800	cbBTC,USDC	0.04622396,5186.99	105617.962540483	10283.01	283.01	2.830065	26.26	338.565400	10069.07	10069.07	213.937150	0.000000	5.000000	7.033089	6.457067	-0.001561	0.00	1	
1748563200	cbBTC,USDC	0.04622396,5186.99	104026.74191179288	10221.71	221.71	2.217110	26.89	351.761885	9995.52	9995.52	226.194114	0.000000	5.000000	7.033089	6.457067	-0.008681	0.00	1	
1748649600	cbBTC,USDC	0.04622396,5186.99	104691.35696211892	10257.15	257.15	2.571488	26.58	356.086138	10026.24	10026.24	230.910783	0.000000	5.000000	7.033089	6.457067	-0.004993	0.00	1	
1748736000	cbBTC,USDC	0.04622396,5186.99	105710.45617178436	10307.77	307.77	3.077652	26.15	358.994058	10073.34	10073.34	234.420420	0.000000	5.000000	7.033089	6.457067	-0.001326	0.00	1	
1748822400	cbBTC,USDC	0.04622396,5186.99	105938.76946324352	10324.15	324.15	3.241516	26.01	364.692045	10083.90	10083.90	240.253213	0.000000	5.000000	7.033089	6.457067	-0.000828	0.00	1	
